,disease
2216,"Cardiomyopathy, Dilated, 1w"
2217,"Cardiomyopathy, Dilated, 1y"
2218,"Cardiomyopathy, Dilated, 1z"
2219,"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)"
2220,"Cardiomyopathy, Familial Hypertrophic, 11"
2221,"Cardiomyopathy, Familial Hypertrophic, 13"
2222,"Cardiomyopathy, Familial Hypertrophic, 14"
2223,"Cardiomyopathy, Familial Hypertrophic, 2"
2224,"Cardiomyopathy, Familial Idiopathic"
2225,"Cardiomyopathy, Hypertrophic"
2226,"Cardiomyopathy, Hypertrophic, Familial"
2227,"Cardiomyopathy, Ischemic"
2228,Cardiopulmonary Arrest
2229,Cardiopulmonary Exercise Test
2230,Cardiotoxicity
2231,Cardiovascular Abnormalities
2232,Cardiovascular Diseases
2233,Cardiovirus Infections
2234,Carditis
2235,Carnevale syndrome
2236,Carney Complex
2237,Carney Complex Variant
2238,"Carney Complex, Type 1"
2239,"Carney Complex, Type 2"
2240,Carnitine palmitoyl transferase 1A deficiency
2241,Carnitine palmitoyl transferase 2 deficiency
2242,Carnitine-Acylcarnitine Translocase Deficiency
2243,Carnosinemia
2244,Caroli Disease
2245,Caroli disease isolated
2246,Carotid Artery Diseases
2247,Carotid Artery Plaque
2248,Carotid Artery Thrombosis
2249,Carotid Atherosclerosis
2250,Carotid Circulation Transient Ischemic Attack
2251,Carotid Intimal Medial Thickness 1
2252,Carotid Stenosis
2253,Carotid Ulcer
2254,Carpal Tunnel Syndrome
2255,Carrier status
2256,Cartilage Disease
2257,Cartilage Diseases
2258,Cartilage-hair hypoplasia
2259,Cartilaginous exostosis
2260,Cat eye syndrome
2261,Catalase deficiency
2262,Catalepsy
2263,Cataract
2264,Cataract and cardiomyopathy
2265,Cataract microcornea syndrome
2266,"Cataract, Autosomal Dominant, Multiple Types 1"
2267,"Cataract, Autosomal Recessive Congenital 1"
2268,"Cataract, Autosomal Recessive Congenital 3"
2269,"Cataract, Central Saccular, With Sutural Opacities"
2270,"Cataract, Congenital Nuclear, Autosomal Recessive 2"
2271,"Cataract, Congenital Nuclear, Autosomal Recessive 3"
2272,"Cataract, Congenital Zonular, with Sutural Opacities"
2273,"Cataract, Congenital, Cerulean Type, 2"
2274,"Cataract, Cortical, Juvenile-Onset"
2275,"Cataract, Juvenile, With Microcornea And Glucosuria"
2276,"Cataract, Nuclear Diffuse Nonprogressive"
2277,"Cataract, Posterior Polar, 4, With Microphthalmia And Neurodevelopmental Abnormalities"
2278,"Cataract, Pulverulent"
2279,"Cataract, Pulverulent, Juvenile-Onset"
2280,"Cataract, Zonular Pulverulent 1"
2281,"Cataract, Zonular Pulverulent 3"
2282,"Cataract, autosomal recessive congenital 2"
2283,"Cataract, congenital, cerulean type 1"
2284,"Cataract, congenital, with microcornea or slight microphthalmia"
2285,"Cataract, posterior polar, 3"
2286,"Cataract, total congenital with posterior sutural opacities in Heterozygotes"
2287,"Cataracts, Congenital, with Sensorineural Deafness, Down Syndrome-Like Facial Appearance, Short Stature, and Mental Retardation"
2288,Catatonia
2289,"Catatonia, Malignant"
2290,"Catatonia, Organic"
2291,Catatonic Rigidity
2292,Catecholaminergic Polymorphic Ventricular Tachycardia Type 1
2293,Catel Manzke syndrome
2294,Caudal Duplication Anomaly
2295,Caudal Dysgenesis Syndrome
2296,Caudal Regression Syndrome
2297,Caudal dysplasia syndrome
2298,"Cavernous Angioma, Central Nervous System"
2299,Cavernous Hemangioma of Brain
2300,"Cavernous Hemangioma, Extracerebral"
2301,"Cavernous Hemangioma, Intracerebral"
2302,Cavitary Optic Disc Anomalies
2303,Cecal Neoplasms
2304,Celiac Disease
2305,Cellular Ependymoma
2306,Cellulitis
2307,Central Core Myopathy (disorder)
2308,Central Diabetes Insipidus
2309,Central Nervous System Embryonal Tumor
2310,Central Nervous System Germinoma
2311,Central Nervous System Inborn Metabolic Diseases
2312,Central Nervous System Metabolic Disorders
2313,Central Nervous System Neoplasms
2314,"Central Nervous System Neoplasms, Primary"
2315,Central Precocious Puberty
2316,Central areolar choroidal sclerosis
2317,Central hypothyroidism
2318,Central hypotonia
2319,Central visual impairment
2320,Centriacinar Emphysema
2321,Centripetalis recessive dystrophic epidermolysis bullosa
2322,Centronuclear myopathy
2323,Cerebellar Ataxia
2324,Cerebellar Ataxia and Hypogonadotropic Hypogonadism
2325,"Cerebellar Ataxia, Deafness, and Narcolepsy"
2326,"Cerebellar Ataxia, Early Onset"
2327,"Cerebellar Ataxia, Late Onset"
2328,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 1"
2329,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 2"
2330,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 3"
2331,"Cerebellar Degenerations, Primary"
2332,Cerebellar Diseases
2333,Cerebellar Dysmetria
2334,Cerebellar Gait Ataxia
2335,Cerebellar Hemiataxia
2336,Cerebellar Hypoplasia
2337,Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome
2338,"Cerebellar ataxia, intellectual disability, oculomotor apraxia, cerebellar cysts syndrome"
2339,Cerebellar ataxic gait
2340,Cerebellar atrophy
2341,Cerebellar hypoplasia with endosteal sclerosis
2342,Cerebellum Cancer
2343,Cerebral Amyloid Angiopathy
2344,"Cerebral Amyloid Angiopathy, Genetic"
2345,"Cerebral Amyloid Angiopathy, Gsn-Related"
2346,"Cerebral Amyloid Angiopathy, Hereditary"
2347,Cerebral Aneurysm
2348,Cerebral Astrocytoma
2349,Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy
2350,Cerebral Cavernous Hemangioma
2351,Cerebral Cavernous Malformations
2352,Cerebral Cavernous Malformations 3
2353,Cerebral Convexity Meningioma
2354,Cerebral Edema
2355,Cerebral Embolism and Thrombosis
2356,Cerebral Hemorrhage
2357,Cerebral Hypoxia-Ischemia
2358,Cerebral Infarction
2359,"Cerebral Infarction, Left Hemisphere"
2360,"Cerebral Infarction, Right Hemisphere"
2361,Cerebral Ischemia
2362,Cerebral Malaria
2363,Cerebral Palsy
2364,"Cerebral Palsy, Atonic"
2365,"Cerebral Palsy, Dystonic-Rigid"
2366,"Cerebral Palsy, Mixed"
2367,"Cerebral Palsy, Quadriplegic, Infantile"
2368,"Cerebral Palsy, Rolandic Type"
2369,"Cerebral Palsy, Spastic Quadriplegic, 1"
2370,"Cerebral Palsy, Spastic Quadriplegic, 2"
2371,Cerebral Primitive Neuroectodermal Tumor
2372,Cerebral Small Vessel Diseases
2373,Cerebral Thrombosis
2374,Cerebral Thrombus
2375,Cerebral Vasospasm
2376,Cerebral atrophy
2377,Cerebral calcification
2378,"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome"
2379,"Cerebral hemorrhage with amyloidosis, hereditary, Dutch type"
2380,Cerebral hypomyelination
2381,Cerebral ventriculomegaly
2382,Cerebrocostomandibular Syndrome
2383,Cerebrocostomandibular-Like Syndrome
2384,Cerebrofaciothoracic Dysplasia
2385,Cerebrooculofacioskeletal Syndrome 1
2386,Cerebrooculofacioskeletal Syndrome 2
2387,Cerebrooculofacioskeletal Syndrome 3
2388,Cerebroretinal vasculopathy
2389,Cerebrovascular Disease
2390,Cerebrovascular Disorders
2391,Cerebrovascular Insufficiency
2392,Cerebrovascular Occlusion
2393,Cerebrovascular accident
2394,"Ceroid Lipofuscinosis, Neuronal, 7"
2395,"Ceroid Lipofuscinosis, Neuronal, Parry Type"
2396,"Ceroid lipofuscinosis, neuronal 1, infantile"
2397,Ceruloplasmin deficiency
2398,Cervical Dystonia
2399,Cervical Intraepithelial Neoplasia
2400,Cervical Migraine Syndrome
2401,Cervical Neoplasms
2402,Cervicitis
2403,Cervico-Brachial Neuralgia
2404,Cervix Endometrial Stromal Tumor
2405,Cervix carcinoma
2406,Chagas Disease
2407,Charcot Gait
2408,Charcot-Marie-Tooth Disease
2409,Charcot-Marie-Tooth Disease Type 1A
2410,"Charcot-Marie-Tooth Disease, Axonal, Type 2a1"
2411,"Charcot-Marie-Tooth Disease, Axonal, Type 2n"
2412,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1e"
2413,"Charcot-Marie-Tooth Disease, Dominant Intermediate C"
2414,"Charcot-Marie-Tooth Disease, Dominant Intermediate D"
2415,"Charcot-Marie-Tooth Disease, Recessive Intermediate A"
2416,"Charcot-Marie-Tooth Disease, Type Ia (disorder)"
2417,"Charcot-Marie-Tooth Disease, Type Ib"
2418,Charcot-Marie-Tooth disease type 2B5
2419,Charcot-Marie-Tooth disease type 4B3
2420,"Charcot-Marie-Tooth disease, Type 1C"
2421,"Charcot-Marie-Tooth disease, Type 1D (disorder)"
2422,"Charcot-Marie-Tooth disease, Type 2B1"
2423,"Charcot-Marie-Tooth disease, Type 2B2"
2424,"Charcot-Marie-Tooth disease, Type 2D"
2425,"Charcot-Marie-Tooth disease, Type 2I"
2426,"Charcot-Marie-Tooth disease, Type 2J"
2427,"Charcot-Marie-Tooth disease, Type 4A, axonal form"
2428,"Charcot-Marie-Tooth disease, Type 4B1"
2429,"Charcot-Marie-Tooth disease, Type 4B2"
2430,"Charcot-Marie-Tooth disease, Type 4E"
2431,"Charcot-Marie-Tooth disease, X-linked, 1"
2432,"Charcot-Marie-Tooth disease, axonal, Type 2G"
2433,"Charcot-Marie-Tooth disease, demyelinating, Type 1F"
2434,Chediak-Higashi Syndrome
2435,Chemical and Drug Induced Liver Injury
2436,Chemically-Induced Liver Toxicity
2437,Cherubism
2438,Chest Pain
2439,Chiari malformation type II
2440,Chikungunya Virus Infection
2441,Chilblain lupus 1
2442,Child Development Deviations
2443,"Child Development Disorders, Pervasive"
2444,"Child Development Disorders, Specific"
2445,Childhood Absence Epilepsy
2446,Childhood Acute Lymphoblastic Leukemia
2447,Childhood Acute Myeloid Leukemia
2448,Childhood Ataxia with Central Nervous System Hypomyelinization
2449,Childhood Benign Occipital Epilepsy
2450,Childhood Brain Stem Glioma
2451,Childhood Cerebral Astrocytoma
2452,Childhood Hepatocellular Carcinoma
2453,Childhood Leukemia
2454,Childhood Malignant Peripheral Nerve Sheath Tumor
2455,Childhood Medulloblastoma
2456,Childhood Obesity
2457,Childhood Oligodendroglioma
2458,Childhood Onset Dystonias
2459,Childhood Overweight
2460,Childhood Progressive Bulbar Palsy
2461,Childhood Tic Disorders
2462,Childhood hypophosphatasia (disorder)
2463,Childhood-onset spasticity with hyperglycinemia
2464,Childhood-onset truncal obesity
2465,Chills
2466,Chlamydia Infections
2467,Chlamydial Infection 
2468,Chloasma
2469,Chloracne
2470,Choanal Atresia
2471,Choking
2472,Cholangiocarcinoma
2473,Cholangitis
2474,"Cholangitis, Sclerosing"
2475,Cholecystolithiasis
2476,Choledochal Cyst
2477,"Choledochal Cyst, Type I"
2478,"Choledochal Cyst, Type II"
2479,"Choledochal Cyst, Type III"
2480,"Choledochal Cyst, Type IV"
2481,"Choledochal Cyst, Type V"
2482,Choledocholithiasis
2483,Cholelithiasis
2484,Cholera Infantum
2485,Cholestasis
2486,Cholestasis of pregnancy
2487,"Cholestasis, Extrahepatic"
2488,"Cholestasis, Progressive Familial Intrahepatic, 2"
2489,"Cholestasis, benign recurrent intrahepatic 1"
2490,"Cholestasis, benign recurrent intrahepatic 2"
2491,"Cholestasis, progressive familial intrahepatic 1"
2492,"Cholestasis, progressive familial intrahepatic 3"
2493,"Cholestasis, progressive familial intrahepatic 4"
2494,Cholesteatoma
2495,Cholesterol Embolism
2496,Cholesterol Ester Storage Disease
2497,Cholesteryl Ester Transfer Protein Deficiency
2498,Chondroblastoma
2499,Chondrodysplasia Punctata
2500,"Chondrodysplasia Punctata, Rhizomelic"
2501,"Chondrodysplasia punctata, X-linked dominant type"
2502,"Chondrodysplasia, Grebe type"
2503,"Chondrodysplasia, Megarbane-Dagher-Melki Type"
2504,"Chondrodysplasia, acromesomelic, with genital anomalies"
2505,"Chondrodysplasia, blomstrand type"
2506,Chondroma
2507,Chondromalacia
2508,Chondromyxoid fibroma
2509,Chondrosarcoma
2510,Chordoma
2511,Chorea
2512,Chorea Acanthocytosis Syndrome
2513,"Chorea, Benign Familial"
2514,"Chorea, Senile"
2515,Choreoathetosis And Congenital Hypothyroidism
2516,"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"
2517,Chorioamnionitis
2518,Chorioangioma
2519,Choriocarcinoma
2520,"Chorioretinal Dystrophy, Spinocerebellar Ataxia, and Hypogonadotropic Hypogonadism"
2521,Choroid Plexus Carcinoma
2522,Choroid Plexus Papilloma
2523,"Choroidal Dystrophy, Central Areolar 1"
2524,Choroidal Neovascularization
2525,Choroidal sclerosis
2526,Choroideremia
2527,Christ-Siemens-Touraine syndrome
2528,Chromophobe Renal Cell Carcinoma
2529,Chromosomal Instability
2530,Chromosomal mosaicism due to mitotic instability
2531,Chromosomal translocation
2532,Chromosome 11p11.2 Deletion Syndrome
2533,Chromosome 13q14 deletion syndrome
2534,Chromosome 15q13.3 Microdeletion Syndrome
2535,Chromosome 15q26-Qter Deletion Syndrome
2536,Chromosome 17 deletion
2537,Chromosome 17p Deletion Syndrome
2538,Chromosome 17p13.3 Duplication Syndrome
2539,Chromosome 17q21.31 Deletion Syndrome
2540,Chromosome 1p36 Deletion Syndrome
2541,"Chromosome 1q21.1 Deletion Syndrome, 1.35-Mb"
2542,"Chromosome 2, monosomy 2q24"
2543,"Chromosome 22Q11.2 Deletion Syndrome, Distal"
2544,"Chromosome 22q11.2 Deletion Syndrome, Distal"
2545,Chromosome 22q11.2 Microduplication Syndrome
2546,Chromosome 2q32-Q33 Deletion Syndrome
2547,Chromosome 2q37 deletion syndrome
2548,"Chromosome 3, monosomy 3p"
2549,"Chromosome 3, monosomy 3p25"
2550,"Chromosome 5, monosomy 5q35"
2551,Chromosome 5p13 Duplication Syndrome
2552,Chromosome 5q Deletion Syndrome
2553,"Chromosome 8, monosomy 8p23 1"
2554,Chromosome Aberrations
2555,Chromosome Breakage
2556,Chromosome Breaks
2557,Chromosome Deletion
2558,Chromosome Instability Syndromes
2559,Chromosome Xp11.23-P11.22 Duplication Syndrome
2560,Chromosome Xq28 Duplication Syndrome
2561,Chronic Airflow Obstruction
2562,Chronic Alcohol-Induced Alveolar Macrophage Dysfunction
2563,Chronic Alcoholic Hepatitis
2564,Chronic Bacterial Prostatitis
2565,Chronic Brucellosis
2566,Chronic Cerebral Hypoperfusion
2567,Chronic Fatigue Syndrome
2568,Chronic Heart Failure
2569,Chronic Hemolysis
2570,Chronic Hepatitis
2571,Chronic Hepatitis B
2572,Chronic Hepatitis C
2573,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome"
2574,Chronic Inflammation
2575,Chronic Inflammatory Pain
2576,Chronic Insomnia
2577,Chronic Kidney Disease
2578,Chronic Kidney Diseases
2579,Chronic Kidney Insufficiency
2580,Chronic Liver Failure
2581,Chronic Lung Injury
2582,Chronic Lymphocytic Leukemia
2583,Chronic Lymphoproliferative Disorder of NK-Cells
2584,Chronic Motor or Vocal Tic Disorder
2585,Chronic Neutrophilic Leukemia
2586,Chronic Obstructive Airway Disease
2587,Chronic Obstructive Pulmonary Disease
2588,Chronic Pain
2589,Chronic Pancreatitis
2590,Chronic Periodontitis
2591,Chronic Persistent Hepatitis
2592,Chronic Prostatitis with Chronic Pelvic Pain Syndrome
2593,Chronic Q Fever
2594,Chronic active hepatitis
2595,Chronic atrial and intestinal dysrhythmia
2596,Chronic berylliosis
2597,Chronic depression
2598,Chronic diarrhea
2599,Chronic eosinophilic leukemia
2600,Chronic granulomatous disease
2601,Chronic heart failure
2602,Chronic interstitial cystitis
2603,Chronic kidney disease stage 5
2604,Chronic myeloproliferative disorder
2605,Chronic neutropenia
2606,Chronic pain
2607,Chronic progressive chorea
2608,Chronic progressive external ophthalmoplegia
2609,Chronic schizophrenia
2610,Chronobiology Disorders
2611,Chudley-Mccullough syndrome
2612,Chylomicron retention disease
2613,Chylopericardium
2614,Ciliary Body Spasm
2615,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus"
2616,"Ciliary Dyskinesia, Primary, 5"
2617,"Ciliary Dyskinesia, Primary, 7, With Or Without Situs Inversus"
2618,Ciliary Motility Disorders
2619,Ciliopathies
2620,Circadian Rhythm Disorders
2621,Cirrhosis
2622,"Cirrhosis, Familial"
2623,Citrullinemia
2624,Citrullinemia Type 1
2625,Clasp-Knife Spasticity
2626,Classic Maple Syrup Urine Disease
2627,Classic Pelizaeus-Merzbacher Disease
2628,Classical Lissencephalies and Subcortical Band Heterotopias
2629,Classical Lissencephaly
2630,Classical galactosemia
2631,Classical phenylketonuria
2632,Claustrophobia
2633,Clear Cell Meningioma
2634,Clear Cell Sarcoma of Soft Tissue
2635,Clear cell adenocarcinoma of ovary
2636,Clear cell papillary renal cell carcinoma
2637,Clear cell sarcoma of kidney
2638,Clear-cell metastatic renal cell carcinoma
2639,Cleft Lip with or without Cleft Palate
2640,Cleft Palate
2641,Cleft Soft Palate
2642,Cleft lip and alveolus
2643,Cleft mandible
2644,Cleft of hard palate
2645,Cleft palate with cleft lip
2646,"Cleft palate, isolated"
2647,Cleft upper lip
2648,Cleft uvula
2649,Cleidocranial Dysplasia
2650,"Clinically Isolated Syndrome, CNS Demyelinating"
2651,Clinodactyly
2652,Clinodactyly of fingers
2653,Clinodactyly of the 5th finger
2654,Clonic Seizures
2655,Cloverleaf skull
2656,Clumsiness - motor delay
2657,Cluttering
2658,Coarse Tremor
2659,Cobblestone Lissencephaly
2660,Cocaine Abuse
2661,Cocaine Dependence
2662,Cocaine withdrawal
2663,Cocaine-Related Disorders
2664,Cocaine-induced mood disorder
2665,Cochlear Diseases
2666,Cockayne Syndrome
2667,"Cockayne Syndrome, Type I"
2668,"Cockayne Syndrome, Type II"
2669,"Cockayne Syndrome, Type III"
2670,Cockayne-Pelizaeus-Merzbacher Disease
2671,Cockayne-Touraine Disease
2672,Coenzyme A synthase protein associated neurodegeneration
2673,Coffin-Lowry syndrome
2674,Coffin-Siris syndrome
2675,Cognition Disorders
2676,Cogwheel Rigidity
2677,Cohen syndrome
2678,Cold Hemagglutinin Disease
2679,Cold paroxysmal hemoglobinuria
2680,Cole Carpenter syndrome
2681,Cole disease
2682,Colicky Pain
2683,Colitis
2684,"Colitis, Ulcerative"
2685,Collecting Duct Carcinoma of the Kidney
2686,Collodion Fetus
2687,Coloboma
2688,Coloboma of choroid and retina
2689,Coloboma of eyelid
2690,Coloboma of lens
2691,Coloboma of optic disc
2692,"Coloboma, cleft lip-palate and mental retardation syndrome"
2693,Colon Adenoma
2694,Colon Carcinoma
2695,Colon Neoplasms
2696,Colonic Inertia
2697,Colonic Neoplasms
2698,Colonic Polyps
2699,"Color Blindness, Acquired"
2700,"Color Blindness, Blue"
2701,"Color Blindness, Green"
2702,"Color Blindness, Inherited"
2703,"Color Blindness, Red"
2704,"Color Blindness, Red-Green"
2705,Color blindness
2706,Color vision defect
2707,Colorectal Adenocarcinoma
2708,Colorectal Adenoma
2709,"Colorectal Adenomatous Polyposis, Autosomal Recessive"
2710,Colorectal Carcinoma
2711,Colorectal Neoplasms
2712,"Colorectal cancer, hereditary nonpolyposis, type 1"
2713,"Coma, Post-Head Injury"
2714,"Coma, Post-Traumatic, Prolonged"
2715,Comatose
2716,Combined Cellular And Humoral Immune Defects With Granulomas
2717,Combined D-2- and L-2-hydroxyglutaric aciduria
2718,Combined Malonic and Methylmalonic Aciduria
2719,Combined Oxidative Phosphorylation Deficiency 1
2720,Combined Oxidative Phosphorylation Deficiency 2
2721,Combined Oxidative Phosphorylation Deficiency 3
2722,Combined Oxidative Phosphorylation Deficiency 4
2723,Combined Oxidative Phosphorylation Deficiency 5
2724,Combined Saposin Deficiency
2725,Combined immunodeficiency
2726,Combined molybdoflavoprotein enzyme deficiency
2727,Combined oxidative phosphorylation deficiency
2728,Common Bile Duct Calculi
2729,Common Carotid Artery Stenosis
2730,Common Carotid Artery Thrombosis
2731,Common Migraine
2732,Common Variable Immunodeficiency
2733,Communicating Hydrocephalus
2734,Compartment syndromes
2735,Compensatory Hyperinsulinemia
2736,"Complement Component 4, Partial Deficiency Of"
2737,Complement Component 4a Deficiency
2738,Complement Component 6 Deficiency
2739,Complement Component 7 Deficiency
2740,Complement Component C1s Deficiency
2741,Complement Factor D Deficiency
2742,Complement Factor H Deficiency
2743,Complement Factor I (C3 inactivator) deficiency
2744,Complement component 3 deficiency
2745,Complement component 5 deficiency
2746,Complement deficiency disease
2747,Complete Hearing Loss
2748,Complete hydatidiform mole
2749,Complex Endometrial Hyperplasia
2750,Complex Glycerol Kinase Deficiency
2751,Complex Partial Status Epilepticus
2752,Complex Regional Pain Syndrome
2753,Complex craniosynostosis
2754,Complex partial seizures
2755,Complicated hereditary spastic paraplegia
2756,Complications of Diabetes Mellitus
2757,Compression of spinal cord
2758,"Condition, Preneoplastic"
2759,Conduction disorder of the heart
2760,Conductive hearing loss
2761,Cone Dystrophy
2762,Cone monochromatism
2763,Cone rod dystrophy amelogenesis imperfecta
2764,Cone-Rod Dystrophies
2765,Cone-Rod Dystrophy 11
2766,Cone-Rod Dystrophy 13
2767,Cone-Rod Dystrophy 2
2768,Cone-Rod Dystrophy 5
2769,Cone-Rod Dystrophy 7
2770,"Cone-rod synaptic disorder, congenital nonprogressive"
2771,Confusion
2772,Congenital Abnormality
2773,Congenital Amaurosis of Retinal Origin
2774,"Congenital Cataracts, Facial Dysmorphism, And Neuropathy"
2775,Congenital Cerebral Palsy
2776,Congenital Deafness
2777,Congenital Diaphragmatic Hernia
2778,"Congenital Disorder Of Glycosylation, Type IIB"
2779,"Congenital Disorder Of Glycosylation, Type IIF"
2780,"Congenital Disorder Of Glycosylation, Type IIH"
2781,"Congenital Disorder Of Glycosylation, Type Im"
2782,"Congenital Disorder Of Glycosylation, Type In"
2783,"Congenital Disorder of Glycosylation, Type Io"
2784,Congenital Disorders of Glycosylation
2785,Congenital Fiber Type Disproportion
2786,Congenital Fibrosis of the Extraocular Muscles
2787,Congenital Foot Deformity
2788,Congenital Generalized Lipodystrophy Type 1
2789,Congenital Generalized Lipodystrophy Type 2
2790,Congenital Hand Deformities
2791,Congenital Heart Defects
2792,Congenital Heart Diseases
2793,Congenital Hemidysplasia with Ichthyosiform Erythroderma and Limb Defects
2794,Congenital Hydrocephalus
2795,Congenital Hyperinsulinism
2796,Congenital Hypothyroidism
2797,Congenital Intestinal Aganglionosis
2798,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
2799,Congenital Mesoblastic Nephroma
2800,Congenital Methemoglobinemia
2801,Congenital Microtia
2802,Congenital Myasthenic Syndrome
2803,"Congenital Myasthenic Syndromes, Postsynaptic"
2804,"Congenital Myasthenic Syndromes, Presynaptic"
2805,Congenital Myotonic Dystrophy
2806,Congenital Nephrogenic Diabetes Insipidus
2807,Congenital Nonbullous Ichthyosiform Erythroderma
2808,Congenital Osteopetrosis
2809,Congenital Pain Insensitivity
2810,Congenital Structural Myopathy
2811,Congenital Thrombotic Thrombocytopenic Purpura
2812,Congenital abnormality of respiratory system
2813,Congenital abnormality of vein
2814,Congenital absence of breast with absent nipple
2815,Congenital absence of kidneys syndrome
2816,Congenital absence of lung
2817,Congenital absence of parathyroid gland
2818,Congenital absence of tibia
2819,"Congenital absence, atresia and stricture of auditory canal (external)"
2820,Congenital absent nipple
2821,Congenital adrenal hyperplasia
2822,Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency
2823,Congenital adrenal hyperplasia due to 21 hydroxylase deficiency
2824,Congenital amegakaryocytic thrombocytopenia
2825,Congenital aneurysm of ascending aorta
2826,Congenital anomaly of face
2827,Congenital anomaly of the kidney
2828,Congenital anosmia
2829,Congenital arteriovenous malformation
2830,Congenital atransferrinemia
2831,Congenital atresia of extrahepatic bile duct
2832,Congenital bilateral aplasia of vas deferens
2833,Congenital cataract
2834,Congenital central hypothyroidism
2835,Congenital central hypothyroidism due to thyrotropin-releasing hormone receptor deficiency
2836,Congenital central hypoventilation
2837,Congenital cerebellar ataxia
2838,Congenital chloride diarrhea
2839,Congenital chromosomal disease
2840,Congenital clubfoot
2841,Congenital coloboma of iris
2842,Congenital contractural arachnodactyly
2843,Congenital contracture
2844,Congenital defect of skull and scalp
2845,Congenital deficiency of intrinsic factor
2846,Congenital diaphragmatic hernia
2847,Congenital dislocation of radial head
2848,Congenital disorder of glycosylation type 1A
2849,Congenital disorder of glycosylation type 1B
2850,Congenital disorder of glycosylation type 1C
2851,Congenital disorder of glycosylation type 1G
2852,Congenital disorder of glycosylation type 1H
2853,Congenital disorder of glycosylation type 1J
2854,Congenital disorder of glycosylation type 1K
2855,Congenital disorder of glycosylation type 1L
2856,Congenital disorder of glycosylation type 1X
2857,Congenital disorder of glycosylation type 1q
2858,Congenital disorder of glycosylation type 1r
2859,Congenital disorder of glycosylation type 1s
2860,Congenital disorder of glycosylation type 1w
2861,Congenital disorder of glycosylation type 1y
2862,Congenital disorder of glycosylation type 2A
2863,Congenital disorder of glycosylation type 2D
2864,Congenital disorder of glycosylation type 2E
2865,"Congenital disorder of glycosylation, type 2C"
2866,"Congenital disorder of glycosylation, type 2G"
2867,Congenital dyserythropoietic anemia
2868,Congenital dyserythropoietic anemia type IV
2869,"Congenital dyserythropoietic anemia, type I"
2870,"Congenital dyserythropoietic anemia, type II"
2871,"Congenital dyserythropoietic anemia, type III"
2872,Congenital ectodermal dysplasia of face
2873,Congenital exomphalos
2874,Congenital glucose-galactose malabsorption
2875,Congenital heart disease
2876,Congenital hemangioma
2877,Congenital hemihypertrophy
2878,Congenital hereditary endothelial dystrophy
2879,Congenital hernia of foramen of Bochdalek
2880,Congenital hernia of foramen of Morgagni
2881,Congenital hypofibrinogenemia
2882,Congenital hypogonadotropic hypogonadism
2883,Congenital hypomyelinating neuropathy
2884,Congenital hypoplasia of adrenal gland
2885,Congenital hypoplasia of radius
2886,Congenital hypoplastic anemia
2887,Congenital ichthyosis
2888,Congenital idiopathic intestinal pseudoobstruction
2889,Congenital keratoglobus
2890,Congenital lip pits
2891,Congenital long QT syndrome
2892,Congenital macrodactylia
2893,Congenital malformation syndrome
2894,Congenital melanocytic nevus
2895,Congenital microcephaly
2896,Congenital muscular dystrophy (disorder)
2897,Congenital muscular hypertrophy-cerebral syndrome
2898,Congenital musculoskeletal anomalies
2899,Congenital myasthenic syndrome ib
2900,Congenital myopathy (disorder)
2901,Congenital myopathy with myasthenic-like onset
2902,Congenital neurologic anomalies
2903,Congenital neutropenia
2904,"Congenital neutropenia, myelofibrosis, nephromegaly syndrome"
2905,Congenital nystagmus
2906,Congenital ocular coloboma (disorder)
2907,Congenital omphalocele
2908,Congenital pontocerebellar hypoplasia
2909,Congenital pontocerebellar hypoplasia type 7
2910,Congenital pontocerebellar hypoplasia type 8
2911,Congenital porencephaly
2912,Congenital posterior urethral valves
2913,Congenital ptosis
2914,Congenital pulmonary arteriovenous malformation
2915,Congenital reticular ichthyosiform erythroderma
2916,Congenital retrognathism
2917,"Congenital secretory diarrhea, sodium type (disorder)"
2918,Congenital small ears
2919,Congenital supravalvular aortic stenosis
2920,"Congenital thrombotic disease, due to Protein C deficiency"
2921,Congenital total cataract
2922,"Congenital vertical talus, bilateral"
2923,Congestive Ophthalmopathy
2924,Congestive heart failure
2925,Conjugate Nystagmus
2926,Conjunctival Diseases
2927,Conn Adenoma
2928,Conn Syndrome
2929,Connective Tissue Diseases
2930,Constipation
2931,Constitutional Mismatch Repair Deficiency Syndrome
2932,"Constriction, Pathologic"
2933,Constrictive Bronchiolitis
2934,Contact Dermatitis
2935,Contact hypersensitivity
2936,Contiguous Abcd1-Dxs1375e Deletion Syndrome
