,gene,disease
14453,COCH,Nonsyndromic Deafness
14454,DGCR,DiGeorge Syndrome
14455,DGCR,Shprintzen syndrome
14456,DGCR,CONOTRUNCAL ANOMALY FACE SYNDROME
14457,DGUOK,Cholestasis
14458,DGUOK,Cruveilhier-Baumgarten Syndrome
14459,DGUOK,Portal Hypertension
14460,DGUOK,MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)
14461,DGUOK,Deoxyguanosine Kinase Deficiency
14462,DGUOK,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 4"
14463,DGUOK,"PORTAL HYPERTENSION, NONCIRRHOTIC"
14464,DGUOK,MITOCHONDRIAL DNA DEPLETION SYNDROME 3
14465,DHCR7,Autistic Disorder
14466,DHCR7,Metabolic Bone Disorder
14467,DHCR7,Liver Cirrhosis
14468,DHCR7,"Nephritis, Interstitial"
14469,DHCR7,Osteopenia
14470,DHCR7,Disorders of Sex Development
14471,DHCR7,"Nephritis, Tubulointerstitial"
14472,DHCR7,Cataract
14473,DHCR7,Smith-Lemli-Opitz Syndrome
14474,DHCR7,"Fibrosis, Liver"
14475,DHCR7,"Smith-Lemli-Opitz Syndrome, Type I"
14476,DHCR7,"Smith-Lemli-Opitz Syndrome, Type II"
14477,DHCR7,7-Dehydrocholesterol Reductase Deficiency
14478,DHCR7,Intellectual Disability
14479,DHCR24,Alzheimer's Disease
14480,DHCR24,Presenile dementia
14481,DHCR24,Q Fever
14482,DHCR24,Familial Alzheimer Disease (FAD)
14483,DHCR24,"Alzheimer Disease, Late Onset"
14484,DHCR24,Acute Q fever
14485,DHCR24,Acute Confusional Senile Dementia
14486,DHCR24,"Alzheimer's Disease, Focal Onset"
14487,DHCR24,"Alzheimer Disease, Early Onset"
14488,DHCR24,Disproportionate short stature
14489,DHCR24,Chronic Q Fever
14490,DHCR24,Autism Spectrum Disorders
14491,DHCR24,Desmosterolosis
14492,DHCR24,Coxiella burnetii Infection
14493,DHFR,Spontaneous abortion
14494,DHFR,"Abortion, Tubal"
14495,DHFR,"Anemia, Megaloblastic"
14496,DHFR,Rheumatoid Arthritis
14497,DHFR,Autistic Disorder
14498,DHFR,Malignant neoplasm of breast
14499,DHFR,Colorectal Carcinoma
14500,DHFR,Colorectal Neoplasms
14501,DHFR,Drug toxicity
14502,DHFR,Folic Acid Deficiency
14503,DHFR,"Hepatitis, Toxic"
14504,DHFR,Female infertility
14505,DHFR,Inborn Errors of Metabolism
14506,DHFR,Neoplasm Metastasis
14507,DHFR,nervous system disorder
14508,DHFR,Osteosarcoma
14509,DHFR,Pancytopenia
14510,DHFR,"Sterility, Postpartum"
14511,DHFR,Adverse reaction to drug
14512,DHFR,Deficiency of dihydrofolate reductase
14513,DHFR,"Subfertility, Female"
14514,DHFR,Breast Carcinoma
14515,DHFR,Drug-Induced Liver Disease
14516,DHFR,Female sterility
14517,DHFR,"Mammary Neoplasms, Human"
14518,DHFR,"Hepatitis, Drug-Induced"
14519,DHFR,Mammary Neoplasms
14520,DHFR,Megaloblastic Anemia due to Dihydrofolate Reductase Deficiency
14521,DHFR,Drug-Induced Acute Liver Injury
14522,DHFR,Early Pregnancy Loss
14523,DHFR,Chemical and Drug Induced Liver Injury
14524,DHFR,Chemically-Induced Liver Toxicity
14525,DHFR,Miscarriage
14526,DHFR,"Mammary Carcinoma, Human"
14527,DHODH,Cooley's anemia
14528,DHODH,"Anemia, Sickle Cell"
14529,DHODH,beta Thalassemia
14530,DHODH,Hemoglobin F Disease
14531,DHODH,Acute Erythroblastic Leukemia
14532,DHODH,Hereditary spherocytosis
14533,DHODH,Thalassemia Minor
14534,DHODH,Congenital small ears
14535,DHODH,Genee-Wiedemann syndrome
14536,DHODH,Thalassemia Intermedia
14537,DHPS,Seizures
14538,DHPS,Electroencephalogram abnormal
14539,DHPS,Abnormal behavior
14540,DHPS,Global developmental delay
14541,DHPS,Abnormal muscle tone
14542,DHPS,Intellectual Disability
14543,DHPS,Abnormality of head or neck
14544,CYB5R3,Cyanosis
14545,CYB5R3,Methemoglobinemia
14546,CYB5R3,NADH cytochrome B5 reductase deficiency
14547,CYB5R3,Congenital Methemoglobinemia
14548,CYB5R3,"Methemoglobinemia, Type I"
14549,CYB5R3,"Methemoglobinemia, Type Ii"
14550,CYB5R3,"Nadh-Cytochrome B5 Reductase Deficiency, Type I"
14551,CYB5R3,"Nadh-Cytochrome B5 Reductase Deficiency, Type Ii"
14552,NQO1,Alloxan Diabetes
14553,NQO1,Asthma
14554,NQO1,Malignant neoplasm of urinary bladder
14555,NQO1,Bladder Neoplasm
14556,NQO1,Malignant neoplasm of breast
14557,NQO1,Malignant Neoplasms
14558,NQO1,Non-Small Cell Lung Carcinoma
14559,NQO1,Cholestasis
14560,NQO1,Colorectal Carcinoma
14561,NQO1,Colorectal Neoplasms
14562,NQO1,Contact Dermatitis
14563,NQO1,"Diabetes Mellitus, Experimental"
14564,NQO1,Hemolytic-Uremic Syndrome
14565,NQO1,Hemorrhage
14566,NQO1,Hyperglycemia
14567,NQO1,Kidney Diseases
14568,NQO1,"Kidney Failure, Acute"
14569,NQO1,Childhood Acute Lymphoblastic Leukemia
14570,NQO1,L2 Acute Lymphoblastic Leukemia
14571,NQO1,"Leukemia, Monocytic, Chronic"
14572,NQO1,Myeloid Leukemia
14573,NQO1,Liver diseases
14574,NQO1,Multiple Myeloma
14575,NQO1,Neoplasms
14576,NQO1,"Neoplasms, Experimental"
14577,NQO1,Obesity
14578,NQO1,Occupational Diseases
14579,NQO1,Papilloma
14580,NQO1,Parkinson Disease
14581,NQO1,Prostatic Neoplasms
14582,NQO1,Streptozotocin Diabetes
14583,NQO1,Liver Dysfunction
14584,NQO1,Benign Neoplasm
14585,NQO1,"Encephalopathy, Toxic"
14586,NQO1,Toxic Encephalitis
14587,NQO1,Contact hypersensitivity
14588,NQO1,"Papilloma, Squamous Cell"
14589,NQO1,Papillomatosis
14590,NQO1,Neurotoxicity Syndromes
14591,NQO1,Malignant neoplasm of prostate
14592,NQO1,Non-alcoholic Fatty Liver Disease
14593,NQO1,Breast Carcinoma
14594,NQO1,"Mammary Neoplasms, Human"
14595,NQO1,Mammary Neoplasms
14596,NQO1,Acute Kidney Insufficiency
14597,NQO1,SPINOCEREBELLAR ATAXIA 17
14598,NQO1,"Hyperglycemia, Postprandial"
14599,NQO1,Precursor Cell Lymphoblastic Leukemia Lymphoma
14600,NQO1,WARFARIN SENSITIVITY (disorder)
14601,NQO1,Acute kidney injury
14602,NQO1,Nonalcoholic Steatohepatitis
14603,NQO1,"Mammary Carcinoma, Human"
14604,DIAPH1,Developmental delay (disorder)
14605,DIAPH1,Global developmental delay
14606,DIAPH1,hearing impairment
14607,DIAPH1,"DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)"
14608,DIAPH1,Intellectual Disability
14609,DIAPH1,"SEIZURES, CORTICAL BLINDNESS, AND MICROCEPHALY SYNDROME"
14610,DIAPH2,Premature Ovarian Failure 2a
14611,DIO1,Hyperthyroxinemia
14612,DIO1,"Liver Cirrhosis, Experimental"
14613,DIO1,Inborn Errors of Metabolism
14614,DIO1,Thyroid Diseases
14615,DIO2,Bipolar Disorder
14616,DIO2,Endometriosis
14617,DIO2,Mesothelioma
14618,DIO2,Thyroid Diseases
14619,DIO2,Endometrioma
14620,DIO2,Autism Spectrum Disorders
14621,DIO3,Malignant neoplasm of breast
14622,DIO3,Neoplasm Metastasis
14623,DIO3,Schizophrenia
14624,DIO3,Papillary thyroid carcinoma
14625,DIO3,Breast Carcinoma
14626,DIO3,"Mammary Neoplasms, Human"
14627,DIO3,Mammary Neoplasms
14628,DIO3,Autism Spectrum Disorders
14629,DIO3,Nonmedullary Thyroid Carcinoma
14630,DIO3,Familial Nonmedullary Thyroid Cancer
14631,DIO3,"Mammary Carcinoma, Human"
14632,DKC1,Dyskeratosis Congenita
14633,DKC1,X-Linked Dyskeratosis Congenita
14634,DKC1,HOYERAAL-HREIDARSSON SYNDROME
14635,DKC1,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 6"
14636,DLAT,Dystonia
14637,DLAT,"Hepatitis, Toxic"
14638,DLAT,Pyruvate Dehydrogenase Complex Deficiency Disease
14639,DLAT,Myocardial Ischemia
14640,DLAT,"Dystonia, Paroxysmal"
14641,DLAT,Drug-Induced Liver Disease
14642,DLAT,"Hepatitis, Drug-Induced"
14643,DLAT,Pyruvate Dehydrogenase E2 Deficiency
14644,DLAT,Drug-Induced Acute Liver Injury
14645,DLAT,Chemical and Drug Induced Liver Injury
14646,DLAT,Chemically-Induced Liver Toxicity
14647,DLD,Leigh Disease
14648,DLD,Maple Syrup Urine Disease
14649,DLD,NADH cytochrome B5 reductase deficiency
14650,DLD,"Lactic Acidosis, Congenital Infantile, Due To Lad Deficiency"
14651,DLG1,Cleft Palate
14652,DLG1,Schizophrenia
14653,DLG1,Cleft palate with cleft lip
14654,DLG1,"Cleft palate, isolated"
14655,DLG2,Bipolar Disorder
14656,DLG2,melanoma
14657,DLG2,Schizophrenia
14658,DLG2,Unipolar Depression
14659,DLG2,Schizophrenia and related disorders
14660,DLG2,Major Depressive Disorder
14661,DLG3,Bipolar Disorder
14662,DLG3,Colorectal Carcinoma
14663,DLG3,Schizophrenia
14664,DLG3,Unipolar Depression
14665,DLG3,Mood Disorders
14666,DLG3,"Mental Retardation, X-Linked"
14667,DLG3,Major Depressive Disorder
14668,DLG3,"Mental Retardation, X-Linked 1"
14669,DLG3,"MENTAL RETARDATION, X-LINKED 90 (disorder)"
14670,DLG3,"Mental Retardation, X-Linked Nonsyndromic"
14671,DLG4,Bipolar Disorder
14672,DLG4,Mental Depression
14673,DLG4,Depressive disorder
14674,DLG4,Polycystic Ovary Syndrome
14675,DLG4,Schizophrenia
14676,DLG4,Unipolar Depression
14677,DLG4,Williams Syndrome
14678,DLG4,Mood Disorders
14679,DLG4,Sclerocystic Ovaries
14680,DLG4,Major Depressive Disorder
14681,DLG4,Autism Spectrum Disorders
14682,DLG4,Neurodevelopmental Disorders
14683,DLG4,Disproportionate tall stature
14684,DLG4,Intellectual Disability
14685,DLX1,Autistic Disorder
14686,DLX1,Bipolar Disorder
14687,DLX1,Psychotic Disorders
14688,DLX1,Schizophrenia
14689,DLX1,Nonorganic psychosis
14690,DLX1,Craniofacial Abnormalities
14691,DLX1,Autism Spectrum Disorders
14692,DLX2,Autistic Disorder
14693,DLX2,Craniofacial Abnormalities
14694,DLX3,Tricho-dento-osseous syndrome (disorder)
14695,DLX3,"Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism"
14696,DLX3,"Amelogenesis Imperfecta, Type IV"
14697,DLX4,Neoplasm Invasiveness
14698,DLX4,Cleft palate with cleft lip
14699,DLX4,OROFACIAL CLEFT 15
14700,DLX5,"Bone Diseases, Developmental"
14701,DLX5,Ectrodactyly
14702,DLX5,Craniofacial Abnormalities
14703,DLX5,Split-Hand-Foot Malformation With Sensorineural Hearing Loss
14704,DLX6,Ectrodactyly
14705,DLX6,Craniofacial Abnormalities
14706,DLX6,Split-Hand-Foot Malformation With Sensorineural Hearing Loss
14707,DLX6,Split hand foot deformity 1
14708,DMBT1,Malignant tumor of colon
14709,DMBT1,Colonic Neoplasms
14710,DMBT1,Glioma
14711,DMD,Malignant neoplasm of breast
14712,DMD,Calcinosis
14713,DMD,"Cardiomyopathy, Dilated"
14714,DMD,Colorectal Carcinoma
14715,DMD,"Muscular Dystrophy, Duchenne"
14716,DMD,Cardiomegaly
14717,DMD,leiomyosarcoma
14718,DMD,Muscular Dystrophy
14719,DMD,"Muscular Dystrophy, Animal"
14720,DMD,Necrosis
14721,DMD,Neoplasm Invasiveness
14722,DMD,Neoplasm Metastasis
14723,DMD,Polycystic Ovary Syndrome
14724,DMD,"Cardiomyopathies, Primary"
14725,DMD,"Myocardial Diseases, Secondary"
14726,DMD,Status Epilepticus
14727,DMD,Muscle Weakness
14728,DMD,"Leiomyosarcoma, Epithelioid"
14729,DMD,"Leiomyosarcoma, Myxoid"
14730,DMD,Embryonal Rhabdomyosarcoma
14731,DMD,Gastrointestinal Stromal Tumors
14732,DMD,Ventricular Dysfunction
14733,DMD,Tumoral calcinosis
14734,DMD,Petit mal status
14735,DMD,Grand Mal Status Epilepticus
14736,DMD,Familial dilated cardiomyopathy
14737,DMD,Complex Partial Status Epilepticus
14738,DMD,Microcalcification
14739,DMD,"Status Epilepticus, Subclinical"
14740,DMD,Non-Convulsive Status Epilepticus
14741,DMD,Simple Partial Status Epilepticus
14742,DMD,Cardiomyopathies
14743,DMD,Becker Muscular Dystrophy
14744,DMD,Sclerocystic Ovaries
14745,DMD,Cardiac Hypertrophy
14746,DMD,"Cardiomyopathy, Familial Idiopathic"
14747,DMD,"Mental Retardation, X-Linked 1"
14748,DMD,Gastrointestinal Stromal Sarcoma
14749,DMD,Duchenne and Becker Muscular Dystrophy
14750,DMD,Dmd-Associated Dilated Cardiomyopathy
14751,DMD,Duchenne or Becker muscular dystrophy
14752,SARDH,Anoxemia
14753,SARDH,Anoxia
14754,SARDH,Hypoxia
14755,SARDH,Sarcosinemia
14756,SARDH,Hypoxemia
14757,DMP1,Osteoarthritis of hip
14758,DMP1,"Chondrodysplasia, Grebe type"
14759,DMP1,Autosomal recessive hypophosphatemic vitamin D refractory rickets
14760,DMP1,"BRACHYDACTYLY, TYPE A2"
14761,DMP1,MULTIPLE SYNOSTOSES SYNDROME 2
14762,DMP1,Fibular hypoplasia and complex brachydactyly
14763,DMP1,Brachydactyly type C
14764,DMP1,Acromesomelic dysplasia Hunter-Thompson type
14765,DMP1,"BRACHYDACTYLY, TYPE A1, C"
14766,DMP1,"SYMPHALANGISM, PROXIMAL, 1B"
14767,DMP1,"Hypophosphatemic Rickets, Autosomal Recessive, 1"
14768,DNM1,Epilepsy
14769,DNM1,Schizophrenia
14770,DNM1,"Epilepsy, Cryptogenic"
14771,DNM1,Aura
14772,DNM1,Lennox-Gastaut syndrome
14773,DNM1,Early infantile epileptic encephalopathy with suppression bursts
14774,DNM1,Epileptic encephalopathy
14775,DNM1,Awakening Epilepsy
14776,DNM1,Neurodevelopmental Disorders
14777,DNM1,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1"
14778,DNM1,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 31"
14779,DNM1,X-linked infantile spasms
14780,DMPK,Myotonia
14781,DMPK,Myotonic Dystrophy
14782,DMPK,Small cell carcinoma of lung
14783,DMPK,Congenital Myotonic Dystrophy
14784,DMPK,Myotonic Phenomenon
14785,DMPK,Percussion Myotonia
14786,DMPK,Dystrophia myotonica 2
14787,DMPK,MYOTONIC DYSTROPHY 1
14788,DMRT1,"Gonadal Dysgenesis, 46,XY"
14789,DMRT1,Embryonal Neoplasm
14790,DMRT1,"Neoplasms, Germ Cell and Embryonal"
14791,DMRT1,Testicular Neoplasms
14792,DMRT1,Malignant neoplasm of testis
14793,DMRT1,Germ cell tumor
14794,DMRT1,"Neoplasms, Embryonal and Mixed"
14795,DMRT1,Germ Cell Cancer
14796,DMRT1,"Cancer, Embryonal"
14797,DMRT1,"Cancer, Embryonal and Mixed"
14798,DMRT1,Tumor of Rete Testis
14799,DMRT1,Swyer Syndrome
14800,DNA2,Seckel syndrome
14801,DNA2,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT, 6"
14802,DNA2,SECKEL SYNDROME 8
14803,DNAH5,Asthma
14804,DNAH5,Bronchiectasis
14805,DNAH5,Lung diseases
14806,DNAH5,Situs ambiguus
14807,DNAH5,"CILIARY DYSKINESIA, PRIMARY, 3"
14808,DNAH5,Ciliopathies
14809,DNAH5,Primary Ciliary Dyskinesia
14810,DNAH8,Bipolar Disorder
14811,DNAH8,Cocaine Abuse
14812,DNAH8,Colorectal Carcinoma
14813,DNAH8,Drug abuse
14814,DNAH8,Drug habituation
14815,DNAH8,Drug Use Disorders
14816,DNAH8,"Organic Mental Disorders, Substance-Induced"
14817,DNAH8,Substance Dependence
14818,DNAH8,Substance Use Disorders
14819,DNAH8,Cocaine-Related Disorders
14820,DNAH8,Substance-Related Disorders
14821,DNAH8,Manic
14822,DNAH8,Cocaine Dependence
14823,DNAH8,Substance abuse problem
14824,DNAH8,Paranoia
14825,DNAH8,Drug Dependence
14826,DNAH8,Ciliopathies
14827,DNAH8,Prescription Drug Abuse
14828,DNAH9,Malignant neoplasm of breast
14829,DNAH9,Kartagener Syndrome
14830,DNAH9,Situs Inversus
14831,DNAH9,Situs ambiguus
14832,DNAH9,Situs ambiguous
14833,DNAH9,Polynesian Bronchiectasis
14834,DNAH9,Primary Ciliary Dyskinesia
14835,DNAH9,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus"
14836,DNAH9,"CILIARY DYSKINESIA, PRIMARY, 40"
14837,DNASE1,"Lupus Erythematosus, Systemic"
14838,DNASE1,Proteinuria
14839,DNASE1,Libman-Sacks Disease
14840,DNASE1,SYSTEMIC LUPUS ERYTHEMATOSUS 16
14841,DNASE1L2,Prostatic Neoplasms
14842,DNASE1L2,Malignant neoplasm of prostate
14843,DNASE1L3,Rheumatoid Arthritis
14844,DNASE1L3,Malignant neoplasm of breast
14845,DNASE1L3,Colorectal Carcinoma
14846,DNASE1L3,Lung Neoplasms
14847,DNASE1L3,"Lupus Erythematosus, Systemic"
14848,DNASE1L3,Malignant neoplasm of lung
14849,DNASE1L3,Libman-Sacks Disease
14850,DNASE1L3,Hypocomplementemic urticarial vasculitis
14851,DNASE1L3,Liver carcinoma
14852,DNASE1L3,SYSTEMIC LUPUS ERYTHEMATOSUS 16
14853,DNASE2,"Glomerulonephritis, Membranoproliferative"
14854,DNASE2,"Lupus Erythematosus, Systemic"
14855,DNASE2,"Fibrosis, Liver"
14856,DNASE2,Autoinflammatory disorder
14857,DYNC1H1,Arthrogryposis
14858,DYNC1H1,Profound Mental Retardation
14859,DYNC1H1,"Mental Retardation, Psychosocial"
14860,DYNC1H1,Microcephaly
14861,DYNC1H1,HMN (Hereditary Motor Neuropathy) Proximal Type I
14862,DYNC1H1,Juvenile Spinal Muscular Atrophy
14863,DYNC1H1,Papillary thyroid carcinoma
14864,DYNC1H1,"Muscular Atrophy, Spinal, Type II"
14865,DYNC1H1,Cortical Dysplasia
14866,DYNC1H1,Spinal Muscular Atrophies of Childhood
14867,DYNC1H1,"Seizures, Focal"
14868,DYNC1H1,Mental deficiency
14869,DYNC1H1,"Spinal Muscular Atrophy, Childhood, Proximal, Autosomal Dominant"
14870,DYNC1H1,"Malformations of Cortical Development, Group II"
14871,DYNC1H1,Malformations of Cortical Development
14872,DYNC1H1,Microlissencephaly
14873,DYNC1H1,"Muscular atrophy, spinal, infantile chronic form"
14874,DYNC1H1,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O"
14875,DYNC1H1,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 13"
14876,DYNC1H1,Nonmedullary Thyroid Carcinoma
14877,DYNC1H1,Familial Nonmedullary Thyroid Cancer
14878,DYNC1H1,Intellectual Disability
14879,DYNC1H1,Severe Congenital Microcephaly
14880,DYNC1I1,Peripheral Nervous System Diseases
14881,DYNC1I2,Microcephaly
14882,DYNC1I2,Intellectual Disability
14883,DYNC1I2,Abnormality of head or neck
14884,DYNC1I2,Abnormality of nervous system morphology
14885,DYNC1LI2,Weight Gain
14886,DNM2,Centronuclear myopathy
14887,DNM2,X-linked centronuclear myopathy
14888,DNM2,Tubular Aggregate Myopathy
14889,DNM2,Congenital Fiber Type Disproportion
14890,DNM2,Congenital Structural Myopathy
14891,DNM2,"Myopathy, Centronuclear, Autosomal Dominant"
14892,DNM2,"CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B (disorder)"
14893,DNM2,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
14894,DNM2,Autosomal Recessive Centronuclear Myopathy
14895,DNM2,Autosomal Dominant Myotubular Myopathy
14896,DNM2,LETHAL CONGENITAL CONTRACTURE SYNDROME 5
14897,DNM2,"Myopathy, Centronuclear, 1"
14898,DNMT1,Adenocarcinoma
14899,DNMT1,Anxiety Disorders
14900,DNMT1,"Arthritis, Adjuvant-Induced"
14901,DNMT1,Asthma
14902,DNMT1,Bipolar Disorder
14903,DNMT1,Malignant neoplasm of breast
14904,DNMT1,Carcinoma
14905,DNMT1,Malignant tumor of colon
14906,DNMT1,Colonic Neoplasms
14907,DNMT1,"Hereditary Sensory Autonomic Neuropathy, Type 1"
14908,DNMT1,"Hereditary Sensory Autonomic Neuropathy, Type 2"
14909,DNMT1,HSAN Type IV
14910,DNMT1,"Hereditary Sensory Autonomic Neuropathy, Type 5"
14911,DNMT1,Malignant neoplasm of stomach
14912,DNMT1,Medulloblastoma
14913,DNMT1,Neoplasm Invasiveness
14914,DNMT1,Hereditary Sensory and Autonomic Neuropathies
14915,DNMT1,Prostatic Neoplasms
14916,DNMT1,Schizophrenia
14917,DNMT1,Stomach Neoplasms
14918,DNMT1,Hereditary Sensory Radicular Neuropathy
14919,DNMT1,"Adenocarcinoma, Basal Cell"
14920,DNMT1,"Adenocarcinoma, Oxyphilic"
14921,DNMT1,"Carcinoma, Cribriform"
14922,DNMT1,"Carcinoma, Granular Cell"
14923,DNMT1,"Adenocarcinoma, Tubular"
14924,DNMT1,Anaplastic carcinoma
14925,DNMT1,"Carcinoma, Spindle-Cell"
14926,DNMT1,Undifferentiated carcinoma
14927,DNMT1,Carcinomatosis
14928,DNMT1,Medullomyoblastoma
14929,DNMT1,Childhood Medulloblastoma
14930,DNMT1,Adult Medulloblastoma
14931,DNMT1,Prostatic Intraepithelial Neoplasias
14932,DNMT1,Senile Paranoid Dementia
14933,DNMT1,"Anxiety States, Neurotic"
14934,DNMT1,Malignant neoplasm of prostate
14935,DNMT1,Dementia
14936,DNMT1,Mood Disorders
14937,DNMT1,Breast Carcinoma
14938,DNMT1,"Sensory Neuropathy, Hereditary"
14939,DNMT1,Familial Dementia
14940,DNMT1,Desmoplastic Medulloblastoma
14941,DNMT1,"Carcinoma, Pancreatic Ductal"
14942,DNMT1,"Arthritis, Collagen-Induced"
14943,DNMT1,"Arthritis, Experimental"
14944,DNMT1,"Mammary Neoplasms, Human"
14945,DNMT1,Melanotic medulloblastoma
14946,DNMT1,Anxiety neurosis (finding)
14947,DNMT1,hearing impairment
14948,DNMT1,Mammary Neoplasms
14949,DNMT1,Hereditary Diffuse Gastric Cancer
14950,DNMT1,"Cerebellar Ataxia, Deafness, and Narcolepsy"
14951,DNMT1,Clear-cell metastatic renal cell carcinoma
14952,DNMT1,Hereditary Sensory and Autonomic Neuropathy Type Ie
14953,DNMT1,"CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT"
14954,DNMT1,"Mammary Carcinoma, Human"
14955,DNMT3A,Malignant neoplasm of breast
14956,DNMT3A,Crohn Disease
14957,DNMT3A,Dwarfism
14958,DNMT3A,Growth Disorders
14959,DNMT3A,Profound Mental Retardation
14960,DNMT3A,Angioimmunoblastic Lymphadenopathy
14961,DNMT3A,Acute monocytic leukemia
14962,DNMT3A,"Leukemia, Myelocytic, Acute"
14963,DNMT3A,"Leukemia, Myelomonocytic, Chronic"
14964,DNMT3A,Acute Promyelocytic Leukemia
14965,DNMT3A,Lung Neoplasms
14966,DNMT3A,"Mental Retardation, Psychosocial"
14967,DNMT3A,Microcephaly
14968,DNMT3A,"Acute Myeloid Leukemia, M1"
14969,DNMT3A,"Neoplasm Recurrence, Local"
14970,DNMT3A,Sezary Syndrome
14971,DNMT3A,"Lymphoma, T-Cell, Cutaneous"
14972,DNMT3A,Peripheral T-Cell Lymphoma
14973,DNMT3A,Crohn's disease of large bowel
14974,DNMT3A,Malignant neoplasm of lung
14975,DNMT3A,Seckel syndrome
14976,DNMT3A,Crohn's disease of the ileum
14977,DNMT3A,Facies
14978,DNMT3A,Juvenile Myelomonocytic Leukemia
14979,DNMT3A,Granulomatous Slack Skin
14980,DNMT3A,Craniofacial Abnormalities
14981,DNMT3A,Regional enteritis
14982,DNMT3A,Breast Carcinoma
14983,DNMT3A,Mental deficiency
14984,DNMT3A,IIeocolitis
14985,DNMT3A,"Mammary Neoplasms, Human"
14986,DNMT3A,Mammary Neoplasms
14987,DNMT3A,Autism Spectrum Disorders
14988,DNMT3A,Acute Myeloid Leukemia (AML-M2)
14989,DNMT3A,Microlissencephaly
14990,DNMT3A,Clear-cell metastatic renal cell carcinoma
14991,DNMT3A,cocaine use
14992,DNMT3A,Intellectual Disability
14993,DNMT3A,Severe Congenital Microcephaly
14994,DNMT3A,Tatton Brown Rahman syndrome
14995,DNMT3A,"Mammary Carcinoma, Human"
14996,DNMT3B,Antibody Deficiency Syndrome
14997,DNMT3B,Malignant neoplasm of breast
14998,DNMT3B,Carcinoma
14999,DNMT3B,Immunologic Deficiency Syndromes
15000,DNMT3B,Malignant neoplasm of stomach
15001,DNMT3B,Prostatic Neoplasms
15002,DNMT3B,Schizophrenia
15003,DNMT3B,Stomach Neoplasms
15004,DNMT3B,Anaplastic carcinoma
15005,DNMT3B,"Carcinoma, Spindle-Cell"
15006,DNMT3B,Undifferentiated carcinoma
15007,DNMT3B,Carcinomatosis
15008,DNMT3B,Malignant neoplasm of prostate
15009,DNMT3B,Craniofacial Abnormalities
15010,DNMT3B,Mood Disorders
15011,DNMT3B,Breast Carcinoma
15012,DNMT3B,"Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor"
15013,DNMT3B,"Mammary Neoplasms, Human"
15014,DNMT3B,Mammary Neoplasms
15015,DNMT3B,Autism Spectrum Disorders
15016,DNMT3B,Early onset schizophrenia
15017,DNMT3B,Hereditary Diffuse Gastric Cancer
15018,DNMT3B,FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1B
15019,DNMT3B,"Prostate cancer, familial"
15020,DNMT3B,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1
15021,DNMT3B,"Mammary Carcinoma, Human"
15022,DNMT3B,"PROSTATE CANCER, HEREDITARY, 1"
15023,DOCK1,Drug abuse
15024,DOCK1,Drug habituation
15025,DOCK1,Drug Use Disorders
15026,DOCK1,"Organic Mental Disorders, Substance-Induced"
15027,DOCK1,Substance Dependence
15028,DOCK1,Substance Use Disorders
15029,DOCK1,Substance-Related Disorders
15030,DOCK1,Substance abuse problem
15031,DOCK1,Drug Dependence
15032,DOCK1,Prescription Drug Abuse
15033,DOCK2,Adenocarcinoma Of Esophagus
15034,DOCK2,"Prostate cancer, familial"
15035,DOCK2,IMMUNODEFICIENCY 40
15036,DOCK2,"PROSTATE CANCER, HEREDITARY, 1"
15037,DOCK3,"NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA"
15038,DOK1,Lung Neoplasms
15039,DOK1,Malignant neoplasm of lung
15040,DOK1,ovarian neoplasm
15041,DOK1,Malignant neoplasm of ovary
15042,DPAGT1,Malignant neoplasm of breast
15043,DPAGT1,Colorectal Carcinoma
15044,DPAGT1,Colorectal Neoplasms
15045,DPAGT1,Malignant neoplasm of stomach
15046,DPAGT1,Stomach Neoplasms
15047,DPAGT1,Disease Exacerbation
15048,DPAGT1,Tubular aggregates
15049,DPAGT1,"Myasthenic Syndromes, Congenital"
15050,DPAGT1,"Congenital Myasthenic Syndromes, Postsynaptic"
15051,DPAGT1,"Congenital Myasthenic Syndromes, Presynaptic"
15052,DPAGT1,"Myasthenic Syndromes, Congenital, Slow Channel"
